x, y, z, u, v
-3.67334, 9.61517, 0.626889, 766, 250
-3.05844, 9.89671, -0.582504, 809, 336
-4.20264, 9.07678, -0.535, 714, 329
-3.05222, 8.80246, 0.687588, 789, 241
-2.42372, 9.04216, -0.523826, 838, 337
-3.60456, 8.26032, -0.461768, 732, 330
-2.37194, 7.8139, 0.706219, 818, 229
-1.79221, 8.07832, -0.524229, 873, 339
-2.93501, 7.31735, -0.458419, 752, 330
-1.75394, 6.98601, 0.81375, 856, 206
-1.1597, 7.25675, -0.408371, 918, 333
-2.32884, 6.51838, -0.357066, 781, 323
-1.26973, 6.18345, 0.842963, 891, 184
-0.669377, 6.47921, -0.370339, 962, 329
-1.8489, 5.73303, -0.332492, 807, 317
-4.45168, 8.99561, 0.724092, 698, 246
-3.82716, 9.24883, -0.486632, 742, 333
-5.00134, 8.58582, -0.480041, 644, 327
-3.94965, 8.24862, 0.704984, 708, 237
-3.32914, 8.50093, -0.507986, 758, 333
-4.50145, 7.77508, -0.474541, 649, 327
-3.35352, 7.4127, 0.707013, 724, 224
-2.73822, 7.67162, -0.507219, 780, 333
-3.94584, 6.93067, -0.449192, 657, 326
-2.84885, 6.65527, 0.763142, 741, 208
-2.22606, 6.90374, -0.449452, 804, 329
-3.42024, 6.17623, -0.404779, 666, 321
-2.22806, 5.69153, 0.869011, 766, 179
-1.63847, 5.96965, -0.353708, 840, 324
-2.79875, 5.24008, -0.310181, 677, 314
-1.68503, 4.85562, 0.897774, 799, 148
-1.08333, 5.11854, -0.322404, 886, 322
-2.26642, 4.41128, -0.278893, 692, 309
-4.58937, 7.74566, 0.740413, 645, 231
-3.95307, 7.97563, -0.468814, 695, 329
-5.15334, 7.27541, -0.434663, 584, 323
-4.07451, 6.97768, 0.758311, 651, 220
-3.45058, 7.22866, -0.453182, 707, 329
-4.65206, 6.47783, -0.3978, 583, 323
-3.55569, 6.17388, 0.791215, 657, 203
-2.93622, 6.42859, -0.421786, 721, 327
-4.11795, 5.70066, -0.38349, 582, 319
-2.78376, 4.99729, 0.861673, 668, 169
-2.18888, 5.2484, -0.364319, 748, 322
-3.34887, 4.53401, -0.315622, 573, 312
-2.79528, 5.00703, 0.860299, 679, 145
-2.19034, 5.24653, -0.363092, 769, 319
-3.36638, 4.53685, -0.31135, 568, 306
-1.91254, 3.61613, 0.932354, 693, 100
-1.30758, 3.85707, -0.290748, 805, 314
-2.48641, 3.15746, -0.242503, 556, 296
-5.8357, 8.18812, 0.647668, 583, 243
-5.2004, 8.44232, -0.557229, 628, 330
-6.41836, 7.64598, -0.486611, 529, 326
-5.36785, 7.38158, 0.745431, 578, 232
-4.78259, 7.59023, -0.493094, 626, 329
-5.92929, 6.91311, -0.431564, 517, 323
-4.84066, 6.47314, 0.742388, 568, 218
-4.22238, 6.68643, -0.479183, 624, 327
-5.43866, 6.00154, -0.415187, 501, 320
-4.32015, 5.5507, 0.799984, 559, 198
-3.68233, 5.80081, -0.40444, 622, 323
-4.90027, 5.10469, -0.376677, 480, 315
-3.91153, 4.8909, 0.827808, 550, 179
-3.30384, 5.13972, -0.392353, 621, 321
-4.50534, 4.43781, -0.339286, 461, 312
-3.35329, 3.97312, 0.892922, 533, 145
-2.75712, 4.19484, -0.3381, 617, 315
-3.91964, 3.50821, -0.283135, 425, 304
-6.71314, 7.40326, 0.723895, 502, 240
-6.06029, 7.62557, -0.477921, 546, 328
-7.25884, 6.98274, -0.478344, 446, 323
-6.20127, 6.60011, 0.755581, 489, 226
-5.5766, 6.84168, -0.457448, 536, 325
-6.77378, 6.13846, -0.418775, 426, 318
-5.76319, 5.87033, 0.783558, 472, 214
-5.13794, 6.09463, -0.432479, 526, 323
-6.3481, 5.3912, -0.37761, 403, 315
-4.78311, 4.22636, 0.860816, 422, 175
-4.20972, 4.4727, -0.376332, 489, 317
-5.37363, 3.74848, -0.298027, 332, 308
-4.21312, 3.24297, 0.89409, 373, 141
-3.60986, 3.47536, -0.331502, 455, 311
-4.76789, 2.77085, -0.284612, 266, 303
-3.47182, 9.02171, -0.667849, 760, 348
-2.96144, 9.32736, -1.91928, 803, 437
-4.09816, 8.63776, -1.84271, 703, 433
-3.07515, 8.2608, -0.687879, 770, 348
-2.51344, 8.61847, -1.90302, 819, 446
-3.69813, 7.85452, -1.857, 709, 441
-2.50935, 7.37009, -0.622264, 790, 349
-1.97971, 7.69747, -1.86013, 845, 460
-3.13847, 6.9293, -1.77548, 720, 445
-1.80234, 6.47976, -0.58204, 832, 348
-1.28218, 6.8041, -1.82471, 893, 478
-2.47474, 6.04638, -1.71344, 748, 471
-1.26839, 5.6996, -0.535176, 875, 347
-0.707962, 6.01977, -1.76131, 944, 497
-1.93741, 5.2742, -1.6716, 779, 491
-4.02808, 8.66988, -0.713593, 710, 345
-3.49035, 8.97474, -1.95372, 756, 435
-4.73529, 8.26179, -1.83311, 653, 430
